Book,Chapter,Verse,ScripturalText
Moses,1,39,For behold this is my work and my glory to bring to past the immortality and eternal life of man
Moses,7,18,And the Lord called his people Zion because they were on one heart and one mind and dwelt in righteousness; and there was no poor among them.
Joshua,24,15,And if it seem evil unto you to serve the Lord chose you this day whom ye will serve; whether the gods which your fathers serve that were on the other side of the flood or the gods of the Amorites in whose land ye dwell: but as for me and my house we will serve the Lord.
Isaiah,1,18,Come now and let us reason together saith the Lord: though your sins be as scarlet they shall be as white as snow; though they be red as crimson they shall be as wool.
Amos,3,7,Surely the Lord God will do nothing but he revealeth his secret unto his servants the prophets.
John,3,5,Jesus answered Verily verily I say unto thee. Except a man be of water and of the Spirit he cannot enter into the kingdom of God.
John,7,17,If any man will do his will; he shall know of the doctrine whether it be of God or whether I speak of myself.
John,17,3,And this is life eternal; that they may know thee the only true God and Jesus Christ whom thou hast sent.
1 Corinthians,11,11,Nevertheless neither is the man without the woman; neither the woman without the man in the Lord.
Hebrews,12,9,Futhermore we have had fathers of our flesh which corrected us and we gave them reverence: shall we not much rather be in subjection unto the Fathers of spirits and live?
1 Peter,4,6,For for this cause was the gospel preached also to them that are dead; that they might be judged according to men in the flesh but live according to God in the spirit.
1 Nephi,3,7,And it came to pass that I Nephi said unto my father: I will go and do the things which the Lord hath commanded for I know that the Lord giveth no commandments unto the children of men save he shall prepare a way for them that they may accomplish the thing which he commandeth them. 
2 Nephi,2,25,Adam fell that men might be; and men are that they might have joy.
2 Nephi,2,27,Wherefore men are free according to the flesh; and all things are given them which are expedient unto man. And they are free to choose liberty and eternal life; through the great Mediator of all men or to choose captivity and death according to the captivity and power of the devil; for he seeketh that all men might be miserable like unto himself.
Mosiah,2,17,And behold I tell you these things that ye may learn wisdom; that ye may learn that when ye are in the service of your fellow beings ye are only in the service of your God.
Mosiah,2,41,And moreover I would desire that ye should consider on the blessed and happy state of those that keep the commandments of God. For behold; they are blessed in all things  both temporal and spiritual; and if they hold out faithful to the end they are received into heaven that thereby they may dwell with God in a state of never-ending happiness. O remember remember that these things are true; for the Lord God hath spoken it.
Mosiah,3,19,For the natural man is an enemy to God and has been from the fall of Adam and will be forever and ever unless he yields to the enticings of the Holy Spirit and putteth off the natural man and becometh a saint through the atonement of Christ the Lord and becometh as a child submissive meek humble patient full of love willing to submit to all things which the Lord seeth fit to inflict upon him even as a child doth submit to his father.
Ether,12,27,And if men come unto me I will show unto them their weakness. I give unto men weakness that they may be humble; and my grace is sufficient for all men that humble themselves before me; for if they humble themselves before me and have faith in me then will I make weak things become strong unto them.
D&C,1,30,And also those to whom these commandments were given might have power to lay the foundation of this church and to bring it forth out of obscurity and out of darkness the only true and living church upon the face of the whole earth with which I the Lord am well pleased speaking unto the church collectively and not individually.
D&C,6,36,Look unto me in every thought; doubt not fear not.
D&C,82,10,I the Lord am bound when ye do what I say; but when ye do not what I say ye have no promise.
D&C,88,118,And as all have not faith seek ye diligently and teach one another words of wisdom; yea seek ye out of the best books words of wisdom; seek learning even by study and also by faith.
